ticker,sector,instrument_type,description
AAPL,Technology,Stock,Apple Inc
MSFT,Technology,Stock,Microsoft Corp
NVDA,Technology,Stock,NVIDIA Corp
GOOGL,Technology,Stock,Alphabet Inc
META,Technology,Stock,Meta Platforms
AMD,Technology,Stock,Advanced Micro Devices
AVGO,Technology,Stock,Broadcom Inc
ORCL,Technology,Stock,Oracle Corp
CRM,Technology,Stock,Salesforce Inc
ADBE,Technology,Stock,Adobe Inc
INTC,Technology,Stock,Intel Corp
QCOM,Technology,Stock,Qualcomm Inc
TXN,Technology,Stock,Texas Instruments
NOW,Technology,Stock,ServiceNow Inc
PANW,Technology,Stock,Palo Alto Networks
SNOW,Technology,Stock,Snowflake Inc
PLTR,Technology,Stock,Palantir Technologies
JPM,Financials,Stock,JPMorgan Chase
BAC,Financials,Stock,Bank of America
GS,Financials,Stock,Goldman Sachs
MS,Financials,Stock,Morgan Stanley
WFC,Financials,Stock,Wells Fargo
BRK-B,Financials,Stock,Berkshire Hathaway
BLK,Financials,Stock,BlackRock Inc
AXP,Financials,Stock,American Express
V,Financials,Stock,Visa Inc
MA,Financials,Stock,Mastercard Inc
C,Financials,Stock,Citigroup Inc
SCHW,Financials,Stock,Charles Schwab
COF,Financials,Stock,Capital One
CB,Financials,Stock,Chubb Ltd
UNH,Healthcare,Stock,UnitedHealth Group
JNJ,Healthcare,Stock,Johnson & Johnson
LLY,Healthcare,Stock,Eli Lilly
PFE,Healthcare,Stock,Pfizer Inc
ABBV,Healthcare,Stock,AbbVie Inc
MRK,Healthcare,Stock,Merck & Co
TMO,Healthcare,Stock,Thermo Fisher Scientific
ABT,Healthcare,Stock,Abbott Laboratories
BMY,Healthcare,Stock,Bristol-Myers Squibb
AMGN,Healthcare,Stock,Amgen Inc
GILD,Healthcare,Stock,Gilead Sciences
ISRG,Healthcare,Stock,Intuitive Surgical
SYK,Healthcare,Stock,Stryker Corp
REGN,Healthcare,Stock,Regeneron Pharmaceuticals
XOM,Energy,Stock,Exxon Mobil
CVX,Energy,Stock,Chevron Corp
COP,Energy,Stock,ConocoPhillips
SLB,Energy,Stock,SLB (Schlumberger)
EOG,Energy,Stock,EOG Resources
OXY,Energy,Stock,Occidental Petroleum
MPC,Energy,Stock,Marathon Petroleum
PSX,Energy,Stock,Phillips 66
VLO,Energy,Stock,Valero Energy
KMI,Energy,Stock,Kinder Morgan
WMB,Energy,Stock,Williams Companies
AMZN,Consumer Discretionary,Stock,Amazon.com Inc
TSLA,Consumer Discretionary,Stock,Tesla Inc
HD,Consumer Discretionary,Stock,Home Depot
MCD,Consumer Discretionary,Stock,McDonald's Corp
NKE,Consumer Discretionary,Stock,Nike Inc
SBUX,Consumer Discretionary,Stock,Starbucks Corp
TGT,Consumer Discretionary,Stock,Target Corp
LOW,Consumer Discretionary,Stock,Lowe's Companies
BKNG,Consumer Discretionary,Stock,Booking Holdings
MAR,Consumer Discretionary,Stock,Marriott International
F,Consumer Discretionary,Stock,Ford Motor
GM,Consumer Discretionary,Stock,General Motors
